TIME_REF,rent_cpi,region
2019.1,1477,Rest of South Island
2019.11,1497,Rest of South Island
2019.12,1471,Rest of South Island
2020.01,1483,Rest of South Island
2020.02,1511,Rest of South Island
2020.03,1463,Rest of South Island
2020.04,1532,Rest of South Island
2020.05,1400,Rest of South Island
2020.06,1365,Rest of South Island
2020.07,1392,Rest of South Island
2020.08,1451,Rest of South Island
2020.09,1454,Rest of South Island
2020.1,1391,Rest of South Island
2020.11,1486,Rest of South Island
2020.12,1466,Rest of South Island
2006.11,1000,National
2006.12,992,National
2007.01,1025,National
2007.02,1028,National
2007.03,1022,National
2007.04,1024,National
2007.05,1034,National
2007.06,1028,National
2007.07,1039,National
2007.08,1046,National
2007.09,1049,National
2007.1,1055,National
2007.11,1062,National
2007.12,1058,National
2008.01,1071,National
2008.02,1086,National
2008.03,1076,National
2008.04,1084,National
2008.05,1088,National
2008.06,1078,National
2008.07,1074,National
2008.08,1067,National
2008.09,1073,National
2008.1,1075,National
2008.11,1073,National
2008.12,1075,National
2009.01,1093,National
2009.02,1093,National
2009.03,1088,National
2009.04,1081,National
2009.05,1075,National
2009.06,1081,National
2009.07,1070,National
2009.08,1078,National
2009.09,1078,National
2009.1,1083,National
2009.11,1092,National
2009.12,1088,National
2010.01,1117,National
2010.02,1112,National
2010.03,1108,National
2010.04,1111,National
2010.05,1107,National
2010.06,1104,National
2010.07,1099,National
2010.08,1100,National
2010.09,1102,National
2010.1,1107,National
2010.11,1116,National
2010.12,1115,National
2011.01,1150,National
2011.02,1139,National
2011.03,1141,National
2011.04,1142,National
2011.05,1140,National
2011.06,1134,National
2011.07,1133,National
2011.08,1143,National
2011.09,1148,National
2011.1,1150,National
2011.11,1156,National
2011.12,1165,National
2012.01,1184,National
2012.02,1177,National
2012.03,1183,National
2012.04,1172,National
2012.05,1173,National
2012.06,1177,National
2012.07,1181,National
2012.08,1180,National
2012.09,1179,National
2012.1,1189,National
2012.11,1194,National
2012.12,1201,National
2013.01,1220,National
2013.02,1213,National
2013.03,1212,National
2013.04,1206,National
2013.05,1211,National
2013.06,1216,National
2013.07,1207,National
2013.08,1207,National
2013.09,1207,National
2013.1,1210,National
2013.11,1228,National
2013.12,1232,National
2014.01,1250,National
2014.02,1247,National
2014.03,1248,National
2014.04,1234,National
2014.05,1250,National
2014.06,1249,National
2014.07,1247,National
2014.08,1246,National
2014.09,1257,National
2014.1,1269,National
2014.11,1272,National
2014.12,1272,National
2015.01,1292,National
2015.02,1292,National
2015.03,1284,National
2015.04,1293,National
2015.05,1298,National
2015.06,1292,National
2015.07,1290,National
2015.08,1297,National
2015.09,1308,National
2015.1,1315,National
2015.11,1313,National
2015.12,1311,National
2016.01,1310,National
2016.02,1322,National
2016.03,1327,National
2016.04,1337,National
2016.05,1342,National
2016.06,1331,National
2016.07,1341,National
2016.08,1344,National
2016.09,1349,National
2016.1,1363,National
2016.11,1369,National
2016.12,1365,National
2017.01,1352,National
2017.02,1376,National
2017.03,1389,National
2017.04,1391,National
2017.05,1398,National
2017.06,1396,National
2017.07,1388,National
2017.08,1393,National
2017.09,1397,National
2017.1,1406,National
2017.11,1406,National
2017.12,1404,National
2018.01,1401,National
2018.02,1428,National
2018.03,1435,National
2018.04,1445,National
2018.05,1450,National
2018.06,1448,National
2018.07,1440,National
2018.08,1442,National
2018.09,1448,National
2018.1,1467,National
2018.11,1469,National
2018.12,1472,National
2019.01,1467,National
2019.02,1492,National
2019.03,1507,National
2019.04,1509,National
2019.05,1506,National
2019.06,1504,National
2019.07,1493,National
2019.08,1504,National
2019.09,1508,National
2019.1,1498,National
2019.11,1535,National
2019.12,1524,National
2020.01,1524,National
2020.02,1527,National
2020.03,1539,National
2020.04,1512,National
2020.05,1503,National
2020.06,1507,National
2020.07,1513,National
2020.08,1496,National
2020.09,1521,National
2020.1,1532,National
